TDS,TDS Duration,Vrot,Vrot Width,AzShear,TDS Height,TDS Width,Peak Wind,Min CC,Beam Height,Path Length,Path Width,tag
1,15,35,0.38,0.051,6.9,1.4,122,,,4.8,150,20190522_0629_IAAdair_kdmx
1,25,66.5,0.55,0.067,15.8,2.3,140,,,9,440,20190523_0105_MOJasper_ksgf
1,35,78.7,0.62,0.071,19.7,1.7,142,,,12,880,20190523_0151_MOBarton_ksgf
1,29,57.3,0.36,0.088,13.6,2.5,120,,,16.86,1100,20190523_0234_OKDelaware_kinx
1,57,68.3,0.88,0.043,20.9,3.1,160,,,32.38,1500,20190523_0356_MOMiller_klsx
1,16,66.5,0.65,0.057,12.3,3.1,115,,,17.58,900,20190523_2359_TXRoberts_kama
1,28,81.1,0.66,0.068,16.5,2.8,145,,,15.84,1500,20190524_0126_TXLipscomb_kddc
0,,50.5,0.75,0.037,,,132,,,0.89,100,20190525_2239_TXHale_klbb
1,12,50,0.63,0.044,12.5,2.6,143,,,2.2,75,20190526_0328_OKCanadian_ktlx
1,15,32.5,0.78,0.023,14.5,1.8,140,,,7.5,100,20190527_1825_IAVan_Buren_kdvn
1,34,71.4,0.71,0.056,16.8,2.3,140,,,14,800,20190527_2351_INMiami_kiwx
1,15,56.3,0.28,0.112,9.6,1.5,132,,,5.98,100,20190528_0005_INMadison_kind
1,4,43.2,0.34,0.071,5.4,0.7,122,,,4.2,150,20190528_0010_INGrant_kiwx
1,18,62.2,0.45,0.077,11.2,1.7,150,,,12.8,1200,20190528_0059_INBlackford_kiwx
1,26,47.6,0.67,0.039,14.1,2.7,150,,,6.6,200,20190528_0202_OHMercer_kiwx
1,14,64.6,0.4,0.09,15.3,1.2,140,,,10.8,1320,20190528_0225_OHMiami_kiln
1,33,82.4,0.59,0.078,22.4,2.1,170,,,19,1056,20190528_0241_OHMontgomery_kiln
1,22,71.4,0.54,0.073,12.1,2,140,,,10,1232,20190528_0312_OHMontgomery_kiln
1,13,52.9,0.52,0.057,14.4,1.3,135,,,7.6,440,20190528_0334_OHMontgomery_kiln
1,16,43.7,0.33,0.074,10.1,0.7,120,,,4.2,250,20190528_0423_OHGreene_kiln
1,14,52.5,0.49,0.06,12.9,1.9,125,,,5.3,400,20190528_0517_OHHocking_kiln
1,9,33,0.76,0.024,12.2,1.5,134,,,2.6,400,20190528_2152_PABerks_kdox
1,41,50,0.57,0.049,9.7,1.1,118,,,24.2,880,20190528_2220_KSRussell_kuex
0,,41.8,0.38,0.061,,,115,,,11,100,20190528_2249_KSOsage_ktwx
1,60,98.6,0.65,0.084,38.9,3.1,170,,,31.82,1760,20190528_2305_KSDouglas_keax
1,21,61.2,0.59,0.058,11.9,3.2,115,,,5.84,400,20190529_0058_MOClay_keax
0,,46.1,0.51,0.05,,,120,,,4.01,215,20190529_2124_TXVan_Zandt_kfws
1,22,55.8,0.67,0.046,12.3,1.3,125,,,7.24,700,20190529_2151_TXVan_Zandt_kfws
1,10,49.5,0.63,0.044,7.6,1.3,112,,,9.09,850,20190529_2150_TXWood_kshv
1,10,59.2,0.46,0.071,5.9,1.4,115,,,1.6,50,20190606_1501_LAAscension_klix
1,19,24.3,0.78,0.017,6,1.1,115,,,3.6,160,20190609_0034_MNPolk_kmvx
0,,45.2,0.32,0.078,,,115,,,1.57,500,20190609_2224_TXCoryell_kgrk
1,26,40.3,0.3,0.075,12.6,1.7,121,,,3.7,400,20190615_2248_INMonroe_kind
1,17,41.8,0.41,0.057,9.9,2.3,130,,,3.52,400,20190615_2256_INGreene_kind
1,22,40.3,0.63,0.036,9.4,2.4,130,,,14.51,200,20190616_0048_INRush_kind
1,6,46.6,0.68,0.038,6.3,0.5,121,,,1.85,200,20190616_0120_IADes_Moines_kdvn
1,6,54.9,0.63,0.048,6.3,0.9,118,,,1.32,300,20190616_0124_IADes_Moines_kdvn
1,13,44.7,0.53,0.047,9.1,1.5,130,,,1.44,175,20190620_0347_LABossier_kshv
1,19,42.7,0.56,0.042,8.3,1.3,125,,,2.01,250,20190624_0038_INSt_Joseph_kiwx
1,11,44.2,0.32,0.077,3.8,1,150,,,5.4,710,20190820_1055_IAWarren_kdmx
1,12,48.6,0.36,0.075,8.2,1,120,,,9.31,200,20190905_1058_NCBrunswick_kltx
1,25,45.2,0.38,0.066,9.1,0.6,115,,,13,200,20190905_1302_NCCarteret_kmhx
1,10,72.8,0.54,0.075,10.5,1,130,,,19.12,200,20190910_2214_WYGoshen_kcys
1,9,57.8,0.47,0.068,2.2,0.5,125,,,0.9,50,20190911_0424_SDLincoln_kfsd
1,9,46.6,0.15,0.173,4.7,0.7,130,,,0.63,50,20190911_0424_SDLincoln_kfsd
1,7,58.8,0.41,0.08,4.7,1.1,127,,,0.7,75,20190911_0428_SDMinnehaha_kfsd
1,11,54.9,0.58,0.053,16.8,1.6,150,,,6.97,725,20190925_0045_WIDunn_karx
1,45,54.9,0.27,0.113,11.5,1.2,122,,,11.45,525,20191019_0259_FLPolk_ktbw
1,40,80.1,0.54,0.082,19.6,2,140,,,15.76,1300,20191021_0158_TXDallas_kfws
1,10,41.8,0.28,0.083,6.7,0.9,135,,,2.48,265,20191021_0224_TXDallas_kfws
1,18,46.1,0.46,0.056,5.4,1.5,120,,,31.4,2640,20191021_0508_ARBenton_kinx
1,12,39.8,0.42,0.053,7.8,2.5,120,,,0.47,250,20191101_0325_PADelaware_kdix
1,12,31.6,0.85,0.021,11.1,3,120,,,7.02,700,20191127_0003_LAFranklin_kpoe
1,25,58.3,0.41,0.079,12.8,1.1,120,,,11.89,500,20191127_0557_MSRankin_kdgx
1,20,40.3,0.55,0.041,8.1,1.1,113,,,3.6,147,20191216_1629_LARapides_kpoe
1,108,73.3,0.22,0.185,21.6,1.8,158,,,62,400,20191216_1710_LABeauregard_kpoe
1,44,77.2,0.65,0.066,13.9,1.9,140,,,30.43,880,20191216_2030_MSAmite_kdgx
1,13,59.7,1.33,0.025,11.1,1.6,120,,,4.33,720,20191216_2034_MSFranklin_kdgx
1,11,60.9,0.23,0.147,6.2,1.9,115,,,9.3,250,20191216_2153_MSLee_kgwx
1,14,57.3,0.91,0.035,10.8,1.6,112,,,7.49,350,20191216_2241_MSMarion_klix
1,22,67,0.41,0.091,12.8,1.1,130,,,10.92,600,20191216_2244_MSLawrence_kdgx
1,8,39.3,0.91,0.024,7.5,1.4,115,,,8.18,250,20191216_2252_ALColbert_kgwx
1,12,52.5,0.66,0.044,13.5,3,134,,,18.58,370,20191216_2308_ALLawrence_khtx
1,16,56.8,0.48,0.066,12.3,2.5,136,,,5.84,560,20191216_2317_MSLamar_kdgx
1,33,52.5,0.26,0.112,14.5,1.1,149,,,18.75,1320,20191216_2319_MSSimpson_kdgx
1,82,60.7,0.51,0.066,21.5,2.2,140,,,61.31,350,20191216_2359_MSJones_kdgx
1,6,60.2,0.57,0.059,12.8,2.2,120,,,5.95,350,20191217_0207_ALMarengo_kbmx
1,24,60.7,0.45,0.075,10.8,1.1,120,,,19.2,400,20191217_1635_GAIrwin_kvax
1,17,42.7,0.36,0.066,5,0.8,120,,,13.6,250,20200111_0144_ARLogan_ksrx
1,18,39.3,0.18,0.121,4.3,1,134,,,42.06,300,20200111_0724_LABossier_kshv
0,,34,1.31,0.014,,,125,,,9.7,300,20200111_0742_MOCapeGirardeau_kpah
1,3,56.3,0.91,0.034,10.8,1.3,130,,,20.7,1000,20200111_0907_ARAshley_kdgx
0,,48.1,0.84,0.032,,,127,,,17.8,850,20200111_0933_ARChicot_kdgx
1,5,85.5,1.63,0.029,9.6,1.9,134,,,23.43,2600,20200111_0948_MSBolivar_klzk
0,,56.3,0.85,0.037,,,125,,,5.53,2000,20200111_1018_MSSunflower_kdgx
0,,65.5,0.84,0.043,,,115,,,5.52,850,20200111_1019_MSSunflower_kdgx
1,14,71.4,1.18,0.034,8.4,1.4,120,,,8.25,300,20200111_1053_MSDeSoto_knqa
1,19,61.2,0.52,0.065,10.1,2,134,,,6.33,1056,20200111_1710_ALPickens_kgwx
0,,17.5,0.81,0.012,,,120,,,0.22,150,20200111_1919_ALMarshall_khtx
1,8,28.2,1,0.016,5.5,0.6,130,,,0.56,150,20200112_0333_SCKershaw_kcae
1,9,63.1,0.25,0.14,7.3,1.1,115,,,1.85,150,20200205_2120_MSSmith_kdgx
1,11,55.8,0.56,0.055,2.2,0.7,112,,,18.83,900,20200205_2157_MSYazoo_kdgx
0,,32.5,0.94,0.019,,,112,,,5.89,800,20200205_2258_MSAttala_kdgx
1,14,55.8,0.8,0.039,10,1.8,125,,,60.05,1320,20200206_0451_MSJasper_kdgx
1,18,70.4,0.33,0.119,14.6,1.1,120,,,9.91,700,20200206_0757_ALShelby_kbmx
1,4,46.1,0.45,0.057,2.4,1,130,,,8.57,150,20200206_1555_NCCleveland_kgsp
0,,35.9,0.74,0.027,,,125,,,6.41,75,20200206_1645_NCCabarrus_kcae
1,21,69,0.52,0.074,11.7,1.8,125,,,14.8,100,20200303_0441_TNCarroll_kpah
1,8,58.3,1.12,0.029,9.4,0.9,125,,,18.72,250,20200303_0505_TNBenton_kpah
0,,26.7,0.43,0.034,,,116,,,2.7,250,20200303_0615_KYWarren_khpx
1,56,68.7,0.65,0.059,19.8,1.1,165,,,60.13,1600,20200303_0632_TNDavidson_kohx
1,15,57.8,0.4,0.08,17.6,1.4,175,,,8.39,900,20200303_0748_TNPutnam_kohx
0,,29.6,1.2,0.014,,,115,,,10.07,500,20200303_0825_TNCumberland_kohx
1,14,53.4,0.38,0.078,10.4,1.4,120,,,2.5,50,20200319_0600_TXNolan_ksjt
0,,21.4,0.33,0.036,,,125,,,1.1,425,20200319_0614_TXTaylor_kdyx
0,,20.9,0.62,0.019,,,135,,,0.5,425,20200319_0617_TXTaylor_kdyx
1,21,77,0.29,0.148,9.4,1,120,,,3.6,1050,20200319_0643_TXTaylor_kdyx
0,0,44.7,1.09,0.023,,,120,,,12.5,500,20200319_2350_ARBoone_ksgf
1,24,54.4,0.86,0.035,17.6,4.4,148,,,12.55,600,20200328_2158_ARCraighead_knqa
1,3,43.7,1.04,0.023,2,0.4,115,,,17,500,20200329_0058_KYHenderson_kvwx
1,4,53.4,0.67,0.044,1.6,0.5,122,,,5.2,575,20200329_0118_INWarrick_kvwx
1,41,52.5,0.44,0.066,7.7,1,130,,,30.11,350,20200331_1634_ALBarbour_keox
1,17,60.2,0.37,0.09,8,0.9,125,,,9.36,75,20200409_0105_ARPoinsett_knqa
1,18,70.9,0.42,0.094,4.6,1.2,127,,,9.18,400,20200412_1441_LADeSoto_kshv
1,17,55.4,0.92,0.033,15.9,1.9,140,,,8.01,300,20200412_1636_LAOuachita_kshv
1,11,57.8,1.41,0.023,18.5,2.2,140,,,2.71,400,20200412_1639_LAOuachita_kshv
0,,33.5,1.45,0.013,,,115,,,9.27,700,20200412_1710_LAMorehouse_kshv
1,8,49.5,0.47,0.059,5.3,0.9,120,,,7.42,250,20200412_1822_MSYazoo_kdgx
1,11,55.8,0.83,0.037,7.3,1.5,125,,,8.69,1100,20200412_2030_MSNoxubee_kgwx
1,30,69.9,0.52,0.075,23.4,3.7,170,,,21.21,1935,20200412_2039_MSWalthall_kdgx
1,71,122.5,0.74,0.092,29.2,3.4,190,,,68,3960,20200412_2112_MSJeffersonDavis_kdgx
