TDS,TDS Duration,Vrot,Vrot Width,AzShear,TDS Height,TDS Width,Peak Wind,Min CC,Beam Height,Path Length,Path Width,tag
1,21,47.6,0.97,0.027,11.1,1.6,120,0.68,1.3540095,12.09,80,20140220_1925_ILPike_klsx
1,21,38.8,0.45,0.048,5.5,1,115,0.21,1.512275499,22.38,200,20140220_2109_ILMontgomery_kilx
0,,24.8,2.04,0.007,,,85,,0.271076542,1.21,250,20140221_0429_TNCoffee_KHTX
1,10,34,0.41,0.046,4.4,1,125,0.61,0.410732677,17.47,200,20140221_1221_GALaurens_kjgx
1,9,53.4,1.1,0.027,11.9,1.7,131,0.61,2.428424658,2.98,100,20140327_2022_MODaviess_keax
1,4,26.2,1.71,0.009,5.3,0.7,79,,0.516286833,0.73,75,20140327_2141_IAClarke_KDMX
0,,25.7,1.61,0.009,,,80,,1.398696471,0.19,50,20140403_0056_MOButler_KNQA
1,9,47.6,1.06,0.025,2.6,0.7,75,,0.453393044,0.27,50,20140403_0140_ILUnion_KPAH
1,9,36.9,0.85,0.024,3,0.9,100,,0.195969114,0.63,100,20140403_1019_MOSt Louis_KLSX
0,,39.3,2.57,0.008,,,100,,0.937002425,0.99,90,20140403_1322_ILWhite_KPAH
1,23,51,0.51,0.056,11.5,0.7,125,0.34,1.155501533,16.48,600,20140407_0602_MSCovington_kdgx
1,22,51,0.69,0.041,20.6,1.2,130,0.36,1.319854411,4.7,300,20140407_1849_NCBeaufort_kmhx
1,9,30.6,0.49,0.035,1.4,0.3,76,,0.107677227,0.51,50,20140407_2123_FLLeon_KTLH
1,38,54.9,0.57,0.054,17.1,1.4,150,0.21,1.201966638,20.99,350,20140425_2235_NCBeaufort_kmhx
1,18,45,0.52,0.048,21.6,2,130,0.21,1.641104044,11.37,325,20140427_2229_OKOttawa_kinx
1,28,54.9,0.43,0.071,15.5,1.1,135,0.21,1.646528601,16.13,400,20140427_2240_KSBourbon_keax
0,,33,0.52,0.035,,,104,,0.577694673,1.5,250,20140427_2231_OKLe Flore_KSRX
1,60,114.7,0.34,0.187,32.8,1.5,190,0.21,0.400436426,41.1,1320,20140428_0006_ARPulaski_klzk
1,19,58.7,0.62,0.053,7.3,1,135,0.37,0.682427031,7.32,880,20140428_0116_ARWhite_klzk
1,20,53.9,1.33,0.023,8.8,1.4,97,,0.606895724,1.64,250,20140428_0138_ARWhite_KLZK
0,,24.8,0.94,0.015,,,97,,0.99950529,3.95,100,20140428_0305_GAWashington_KHTX
1,9,48.6,0.86,0.031,19,3.2,115,0.46,0.576789127,5.06,550,20140428_0809_LACaddo_kshv
1,9,38.9,0.35,0.062,3.1,1,79,,0.077091286,1.54,75,20140428_1146_TNShelby_KNQA
1,45,100.2,0.54,0.103,27.2,1.9,150,0.21,0.732712371,30.97,440,20140428_1938_MSLee_kgwx
1,69,81.9,0.43,0.106,32.7,3,185,0.21,1.255658894,33.39,1320,20140428_2051_MSLeake_kdgx
1,29,64.1,0.48,0.074,12.1,1.8,140,0.4,1.660003421,15.56,600,20140428_2147_ALLimestone_khtx
1,10,47.6,1.45,0.018,4.2,0.9,96,,0.63788172,3.19,100,20140428_2056_ALFranklin_KGWX
1,13,31.6,0.66,0.027,12.7,0.9,130,0.34,1.082743258,12.08,150,20140428_2210_TNObion_kpah
1,20,76.9,0.45,0.095,17.3,2,130,0.25,0.791530905,10.31,300,20140428_2253_MSLowndes_kgwx
1,13,40.3,2.1,0.011,3.5,1.1,105,,0.609736994,4.67,200,20140428_2156_MSWarren_KDGX
1,19,36.5,0.28,0.072,6.8,1.3,120,0.26,0.642949026,5.7,150,20140428_2300_GATroup_kffc
1,9,46.6,1.05,0.025,3.2,0.3,115,0.36,0.426766097,9.53,250,20140428_2309_TNLincoln_khtx
1,27,54.4,0.32,0.094,8.6,0.7,155,0.21,0.163146674,29.72,400,20140428_2327_MSHinds_kdgx
1,10,30.1,0.93,0.018,4.2,1.1,85,,0.320111151,7.72,100,20140428_2238_ALMarion_KGWX
1,25,46.7,0.86,0.03,8.2,1.3,115,0.36,0.62128827,14.27,500,20140428_2338_MSLowndes_kgwx
1,13,39.8,0.66,0.034,4.8,1.2,105,,0.380359761,10.86,300,20140428_2248_MSHinds_KDGX
1,12,45.7,0.82,0.031,7.2,1.3,105,,0.217859228,10.03,500,20140428_2319_MSLowndes_KGWX
1,16,44.2,0.34,0.072,3.6,0.8,140,0.62,0.738660628,4.27,150,20140429_0038_MSScott_kdgx
1,37,84.5,0.35,0.134,22,2.8,160,0.21,0.499966158,26.76,500,20140429_0009_TNLincoln_khtx
1,9,38.9,0.57,0.038,6.3,1,125,0.75,1.336756504,5.59,400,20140429_0012_MSNewton_kdgx
1,19,46.5,0.47,0.055,15,2,145,0.21,1.580376958,8.88,350,20140429_0139_ALCullman_kbmx
1,18,57.3,0.49,0.065,11.3,1.3,145,0.3,1.820274081,10.46,880,20140429_0140_MSJones_kdgx
1,18,59.3,0.66,0.05,13.7,1.6,120,0.6,2.220192175,9.2,250,20140429_0209_MSWayne_kmob
1,14,64.6,0.51,0.07,10.7,2.2,125,0.21,0.612543555,5.46,1800,20140429_0213_ALJefferson_kbmx
